PERSONAJE,GLOSA
Guaraní,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""). Grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de  Argentina,​  sur y suroeste de Brasil y sureste de Bolivia y norte de Uruguay. El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"".Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros."
Yamaudú,"Yamandú fue un líder y estratega guaraní de las islas del delta del Tigre, que entre 1573 y 1583 coordinó la defensa del Río de la Plata frente a la invasión española. Pertenecía a los Karaí, una organización político-religiosa guaraní que tenía como objetivo promover la unificación pan-guaraní y representar la unión de agrupaciones de tabas (ciudades) frente a los extranjeros. A través de esta organización su influencia se extendió incluso a otras naciones aliadas como Chanás y Charrúa-minuanes además de los propios Mburuvichás o jefes locales guaraníes."
Yamandú,"Yamandú, cacique guaraní chandul del delta del Paraná en época de la fundación de Santa Fé. Yamandú fue un líder y estratega guaraní de las islas del delta del Tigre, en el bajo Paraná, nacido en la primera mitad del siglo XVI, que entre 1573 y 1583 coordinó la defensa del Río de la Plata frente a la invasión española. Pertenecía a los Karaí, una organización político-religiosa de origen netamente guaraní que tenía como objetivos promover la unificación pan-guaraní y representar la unión de agrupaciones de tabas (ciudades) frente a los extranjeros. A través de esta organización su influencia se extendió incluso a otras naciones aliadas como Chanás y Charrúa-minuanes además de los propios Mburuvichás o jefes locales guaraníes."
Cherandiana,"Refiere a querandíes, sociedad nativa que los exploradores y colonos españoles hallaron en las tierras del Río de la Plata, pero que circulaban por vastos espacios interiores, desde las pampas al norte de la Patagonia, sierras centrales y la Mesopotamia argentina. Se mantenían aprovechando los recursos faunísticos, vegetales y líticos de estos territorios, utilizando modelos de explotación del medio muy flexibles."
Garay,"Juan de Garay (1528 - 1583) fue un hidalgo, explorador, conquistador y  gobernante colonial español. Se destacó por su actuación en la  gobernación del Río de la Plata y del Paraguay por haber sido el  fundador de la ciudad de Santa Fe en 1573 en su primera ubicación, por  lo cual fue asignado al año siguiente como su teniente de gobernador,  para convertirse en 1577 en el teniente de gobernador general de  Asunción. En 1580 fundó la ciudad de Buenos Aires, con el nombre de  ""Ciudad de la Trinidad"", en el lugar donde en 1536 Pedro de Mendoza  había fundado un fuerte con el nombre de "" Real de Nuestra Señora Santa  María del Buen Ayre""."
Martin Suarez,"Refiere a Martín Suárez de Toledo o Martín II Suárez de Toledo, nacido como Martín Suárez de Toledo y Saavedra (Sevilla, 1520-Imperio español, 1584). Hidalgo, militar y explorador español que se desempeñó como teniente de gobernador de Asunción desde 1569 y luego como administrador interino de la gobernación del Río de la Plata y del Paraguay, entre 1572 y 1574, al ser depuesto Felipe de Cáceres quien a su vez estaba suplantando al adelantado Juan Ortiz de Zárate, siendo este hecho perpetrado por el obispo Pedro Fernández de la Torre. En el año 1573 comisionó al entonces alguacil mayor rioplatense Juan de Garay, para que fundara una nueva ciudad que sirviera de conexión marítima, la cual se llamaría ""Santa Fe de la Vera Cruz"". Fue el padre de Hernando Arias de Saavedra, el primer gobernador criollo de Nueva Andalucía."
Malgarejo,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un conquistador español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares.  Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca.  Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Belerma,"Belerma es un personaje literario propio del Romancero Viejo, que fue creado por juglares y romanceristas del siglo XVI para designar a la dama ideal. Belerma da nombre a varios romances, y es, también la compañera de Durandarte, escrupuloso amador y amigo inseparable del caballero Montesinos, famoso por el ciclo de romances al que da su nombre."
Rui Diaz,Se trata del mencionado Ruy Díaz de Melgarejo.
Chiriguana,"Los Chiriguanos, son grupo de lengua Tupí - Guaraní que desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Fue el punto culminante de su expansión hacia el sur, en la búsqueda mesiánica de la ""Tierra sin mal"" o de nuevas tierras para cultivo. Eran agricultores sedentarios, a base de mandioca, zapallos, batata y maíz. La técnica de cultivo era la típica ""milpa"" amazónica: talado de árboles, corte de la maleza, incendio y posterior cultivo sobre el terreno quemado. Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron. Algunas crónicas indican que ese dominio se sustentó en una sistemática antropofagia que prácticamente devastó a los Chané."
Melgarejo,Se trata de Ruy Díaz de Melgarejo
Salazar,"Juan de Salazar de Esponosa (Espinosa de los Monteros, 1508 - Asunción, 1560) fue un conquistador español que en 1535 partió desde Cádiz hacia la región del Río de la Plata como miembro de la expedición de Pedro de Mendoza. Llegado a su destino en enero de 1536, fue enviado por Mendoza en busca de Juan de Ayolas, que había sido enviado previamente a explorar las inmediaciones de los ríos Paraná y Paraguay.   En su camino se topó con Domingo Martínez de Irala, que formaba parte de la misma expedición. El 15 de agosto de 1537, Salazar fundó un fuerte al que bautizó con el nombre de Nuestra Señora de la Asunción, y que a la larga se convertiría en la ciudad de Asunción, capital de Paraguay."
D. Pedro de Mendoza,"Pedro de Mendoza (1499-1537), fue un noble español nacido de Cádiz. Por capitulación firmada con en el rey en 1534 se  lo designa gobernador y primer adelantando a la provincia del Río de la Plata. En la margen izquierda del río, al sur de la actual  ciudad de Buenos Aires, Mendoza ordenó el establecimiento de un puerto  llamado Nuestra Señora del Buen Ayre, pero sus intencionres eran  continuar las exploraciones río arriba, en busca de la Sierra de la  Plata. El asentamiento en Buenos Aires rápidamenta sufrió hambre y  ataques de las sociedades nativas. Debido a las dificultades que  enfrentaba la población de Buenos Aires y de los dos asentamientos  establecidos Paraná arriba (Buena Esperanza y Corpus Christi) y la  ausencia de noticias del Juan de Ayolas, Mendoza decide abandonar su  conquista. Moriría cruzando el Atlántico  en 1537."
Guaranìs,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""), son un grupo de pueblos indígenas  suramericanos que se ubican geográficamente en Paraguay, noreste de  Argentina (en ciertas zonas de provincias de la Región del Litoral),​  sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa  Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los  departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay.El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"". Por otra parte el  nombre dada significa en guaraní 'guerrero', ""ava"" que significa  ""hombre"" y se pronuncia en forma grave entre los chiriguanos (ava  guaraníes).Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní, guariní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros."
Guaycurús,"Los guaycurúes constituían una sociedad de cazadores-recolectores (aunque también practicaban agricultura estacional) y constituyeron uno de los más serios adversarios de los avances coloniales en el Chaco. Los guaycurúes integran la familia lingüística mataco-guaycurú, en la que se incluyen mayoría catalogados dentro de la familia lingüística mataco-guaycurú, en la que se incluyen tobas y abipones (cerca del Bermejo), agaces (en el Pilcomayo y en el curso inferior del Paraguay), yapirus, pilagás y guatatas (en la banda occidental del Paraguay y hacia el oeste), payaguás y guasarapos (en el curso medio del Paraguay) y mbyás (hacia el noroeste del Chaco), entre otros."
Agaces,"O agases, sociedad nativa que habitaba en el curso inferior del río Paraguay. Pertenecían al tronco lingüístico mataco-guaycurú, eran muy hábiles canoeros y pescadores. Solían tener conflictos con los guaraníes carios que vivían río arriba y luego por extensión con los cristianos de Asunción."
Agaz,Refiere a una parcialidad de guaycurúes.
Guatataes,Refiere a una parcialidad de los chiriguanos.
Mogolaes,"Los mogoznas habitaban la zona de región chaqueña boreal que va desde el río Pilcomayo hasta el río Verde, y serían una parcialidad de guaycurúes."
Coñamequaes,"Los coñamec o coñamecuaes habitaban en las riberas del río Paraguay, dentro del territorio compacto de la familia guaycurú. Su lengua desapareció sin dejar rastros, sus rasgos físicos y culturales los asemejaban a las tribus guaycurúes, su carácter pacifico y su presencia en la ruta de penetración de los españoles los condujeron a un contacto asiduo con estos, que produjo su rápida desaparición. Es posible clasificarlos en la familia guaycurú como tribu independiente relacionada con los agaces, aceptando su temprana extinción."
Guaraníes,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""). Grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de  Argentina,​  sur y suroeste de Brasil y sureste de Bolivia y norte de Uruguay. El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"".Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros."
Salazar,"Juan de Salazar de Esponosa (Espinosa de los Monteros, 1508 - Asunción, 1560) Conquistador español. En 1535 partió desde Cádiz hacia la región del Río de la Plata como miembro de la expedición de Pedro de Mendoza. Llegado a su destino en enero de 1536, fue enviado por Mendoza en busca de Juan de Ayolas, que había sido enviado previamente a explorar las inmediaciones de los ríos Paraná y Paraguay.   En su camino se topó con Domingo Martínez de Irala, que formaba parte de la misma expedición. El 15 de agosto de 1537, Salazar fundó un fuerte al que bautizó con el nombre de Nuestra Señora de la Asunción, y que a la larga se convertiría en la ciudad de Asunción, capital de Paraguay.   En 1544, durante la sublevación contra el adelantado Álvar Núñez Cabeza de Vaca, fue expulsado y enviado de regreso a España, pero tres años más tarde se le permitió regresar a la zona en calidad de tesorero de los territorios rioplatenses. En los años siguientes (1550-1555) desarrolló una gran labor colonizadora en todo el territorio del actual Paraguay, y falleció cinco años más tarde en la ciudad por él fundada."
